,distances,rewards,steps
9920,-0.175584554672,4.05994541621e-06,4828.0
9921,-0.205949425697,6.55153430043e-06,4829.0
9922,-0.218321919441,7.80464738051e-06,4830.0
9923,-0.228099703789,8.90093085435e-06,4831.0
9924,-0.234375953674,9.65607032461e-06,4832.0
9925,-0.234375953674,9.65607032461e-06,4833.0
9926,-0.234375953674,9.65607032461e-06,4834.0
9927,-0.234375953674,9.65607032461e-06,4835.0
9928,-0.237986326218,1.01092113902e-05,4836.0
9929,-0.239477992058,1.03004948098e-05,4837.0
9930,-0.237057924271,9.99136202312e-06,4838.0
9931,-0.228967666626,9.00292720109e-06,4839.0
9932,-0.216207385063,7.58006336324e-06,4840.0
9933,-0.209162831306,6.86301264863e-06,4841.0
9934,-0.207534074783,6.70393049624e-06,4842.0
9935,-0.204993009567,6.46068278343e-06,4843.0
9936,-0.221484780312,8.14878629433e-06,4844.0
9937,-0.221484780312,8.14878629433e-06,4845.0
9938,-0.221484780312,8.14878629433e-06,4846.0
9939,-0.221484780312,8.14878629433e-06,4847.0
9940,-0.221484780312,8.14878629433e-06,4848.0
9941,-0.221484780312,8.14878629433e-06,4849.0
9942,-0.221484780312,8.14878629433e-06,4850.0
9943,-0.221130251884,8.10971786043e-06,4851.0
9944,-0.200486540794,6.04389528275e-06,4852.0
9945,-0.177816987038,4.21678059857e-06,4853.0
9946,-0.177735805511,4.21100777967e-06,4854.0
9947,-0.16956281662,3.656395195e-06,4855.0
9948,-0.164734363556,3.35284803992e-06,4856.0
9949,-0.154470086098,2.76435891207e-06,4857.0
9950,-0.150281667709,2.54553622068e-06,4858.0
9951,-0.150281667709,2.54553622068e-06,4859.0
9952,-0.150281667709,2.54553622068e-06,4860.0
9953,-0.150281667709,2.54553622068e-06,4861.0
9954,-0.150281667709,2.54553622068e-06,4862.0
9955,-0.13066804409,1.67328313789e-06,4863.0
9956,-0.114499092102,1.12581593773e-06,4864.0
